iter	AUC	Logloss
777	0.9578411733	0.2651085358
778	0.9578817128	0.2650197729
779	0.9580287099	0.2648041008
780	0.9581608754	0.2645347083
781	0.9582149282	0.2643920319
782	0.9583810415	0.2641811378
783	0.9584631093	0.2640038298
784	0.958566271	0.2637531671
785	0.9587554555	0.2635286638
786	0.9587752309	0.263447475
787	0.9588226919	0.2633120733
788	0.9588994863	0.2631431602
789	0.9589116811	0.263090343
790	0.9589640859	0.2629533852
791	0.9590866933	0.262749262
792	0.9590721914	0.2627412562
793	0.9592320425	0.2624188827
794	0.9593909048	0.2621899271
795	0.9594884634	0.261972953
796	0.9595194448	0.2619353121
797	0.9596018423	0.261759069
798	0.959655895	0.2616370859
799	0.9596987417	0.2615303288
800	0.9597551016	0.2613890424
801	0.9597808096	0.2613446177
802	0.9598997915	0.2611892849
803	0.9600306387	0.2609371564
804	0.9601041372	0.2608088107
805	0.9602270742	0.2605439803
806	0.9603605581	0.2602618989
807	0.960371105	0.2602209423
808	0.9603921987	0.2601425447
809	0.9604643789	0.2600092903
810	0.9605945669	0.2598461471
811	0.9606852041	0.2596849432
812	0.9607636465	0.2595246505
813	0.9608625235	0.2593646663
814	0.9609258047	0.2592581745
815	0.9609686514	0.2592059973
816	0.9609950186	0.2591416782
817	0.9611631094	0.2588474523
818	0.9612352896	0.2587108584
819	0.9613328482	0.2585863102
820	0.9613433951	0.2585586306
821	0.9614491934	0.2583638482
822	0.9614801748	0.2583193223
823	0.961488085	0.2582314162
824	0.9615164297	0.2581389103
825	0.9616548575	0.2579154272
826	0.9616743033	0.2578514484
827	0.9618924917	0.2575033624
828	0.96195017	0.2573781687
829	0.9619570914	0.2573506707
830	0.961975878	0.257291233
831	0.9620098257	0.2571787223
832	0.9620951895	0.2570130596
833	0.962131774	0.256886682
834	0.9621881338	0.2567413003
835	0.9622194449	0.2567104798
836	0.9623321646	0.2565225154
837	0.962377648	0.2564576133
838	0.9624020377	0.2563692917
839	0.9624201651	0.2563213251
840	0.9625401358	0.2561306338
841	0.9627312979	0.25576506
842	0.9627438223	0.2557088406
843	0.9627494254	0.2556894473
844	0.9628278677	0.255593968
845	0.9628502799	0.255550375
846	0.9629063101	0.2554623836
847	0.9630147452	0.2552591518
848	0.9630991202	0.2550774221
849	0.9631340567	0.2550213801
850	0.9632721549	0.2547926644
851	0.9634346427	0.2545147199
852	0.9634699088	0.2544375284
853	0.9635012198	0.2543812436
854	0.9636880973	0.2540169629
855	0.9637177603	0.2539633924
856	0.9637576407	0.253899962
857	0.9638736563	0.2536875816
858	0.9639843985	0.2535129319
859	0.964026586	0.2534270096
860	0.9640733878	0.2533255425
861	0.9640859122	0.2532893609
862	0.964098107	0.2532573024
863	0.9641963248	0.2530285284
864	0.9642332389	0.2529209769
865	0.9643670524	0.2527236749
866	0.9644253898	0.2526549882
867	0.9645704093	0.2523563125
868	0.9645921622	0.2523109901
869	0.9646732413	0.2522124554
870	0.9646841178	0.2521239849
871	0.9647170768	0.2520723504
872	0.9647576163	0.2520062318
873	0.964802111	0.2518903227
874	0.9648377067	0.2518211799
875	0.9648871451	0.2516903444
876	0.9649787711	0.2515054406
877	0.9650433707	0.2513266041
878	0.9651208243	0.2511851069
879	0.9651429069	0.2511574058
880	0.9652101432	0.251074917
881	0.9652730949	0.25092328
